grid_id,lon_center,lat_center,T_SAND,T_CLAY,T_SILT,T_OC,T_OM,T_GRAVEL,T_ECE,T_REF_BULK_DENSITY,wilting_point,field_capacity,saturation,available_water,sat_hydraulic_cond,matric_bulk_density,b_parameter,lambda_param,air_entry_tension,bulk_density_normal,compaction_factor
1031.0,121.1191,31.1422,24.0,44.0,32.0,1.31,2.2584400000000002,2.0,0.1,1.26,0.265049351968,0.3978810006070053,0.4923745916790052,0.13283164863900532,2.03106345040387,1.3452073320506361,9.395287808996155,0.10643633492978068,5.994945159513337,1.3452073320506361,1.0
1032.0,121.2191,31.1422,14.0,39.0,47.0,0.8,1.3792,4.0,0.2,1.26,0.23482522144000004,0.38660147579466836,0.4900243276346683,0.15177625435466832,2.7026653043799573,1.351435531768129,7.655582664354592,0.1306236303418331,8.791810410109907,1.351435531768129,1.0
1033.0,121.3191,31.1422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1034.0,121.4191,31.1422,34.0,18.0,48.0,0.6,1.0344,15.0,0.7,1.41,0.11703482176,0.2674639620455359,0.4229159612135358,0.1504291402855359,8.578619499673163,1.52927270278413,4.617847912344703,0.21655109024416785,7.003123808907735,1.52927270278413,1.0
1035.0,121.5191,31.1422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1036.0,121.6191,31.1422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1037.0,121.7191,31.1422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1038.0,121.8191,31.1422,,,,,,,,,,,,,,,,,,,1.0
1049.0,116.4191,31.2422,47.0,19.0,34.0,0.98,1.68952,25.0,0.1,1.43,0.126212726464,0.2516852434295647,0.4319579004247647,0.12547251696556472,10.27572611416877,1.5053115638743735,5.529781006150935,0.18083898781663707,3.520226335093685,1.5053115638743735,1.0
1050.0,116.5191,31.2422,42.0,20.0,38.0,1.45,2.4998,10.0,0.1,1.41,0.137070226,0.27560087269268374,0.45732805880468375,0.13853064669268375,13.564279971648725,1.438080644167588,5.464466279138466,0.1830004887792374,3.803601332655623,1.438080644167588,1.0
